date,season,venue,team1,team2,toss_winner,toss_decision,bat_first_team,winner,team1_last5_win_pct,team2_last5_win_pct,team1_h2h_win_pct,team2_h2h_win_pct,team1_home_away,team2_home_away,team1_won
2016-02-04,2015/16,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators,0.5,0.5,0.5,0.5,away,away,0
2016-02-05,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Lahore Qalandars,Karachi Kings,0.5,0.5,0.5,0.5,away,away,0
2016-02-05,2015/16,Dubai International Cricket Stadium,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi,0.5,0.0,0.5,0.5,away,away,1
2016-02-06,2015/16,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators,1.0,1.0,0.5,0.5,away,away,0
2016-02-06,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi,0.0,1.0,0.5,0.5,away,away,0
2016-02-07,2015/16,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Islamabad United,0.0,0.5,0.5,0.5,away,away,1
2016-02-07,2015/16,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Peshawar Zalmi,Quetta Gladiators,1.0,1.0,0.5,0.5,away,away,0
2016-02-08,2015/16,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Lahore Qalandars,0.0,1.0,0.5,0.5,away,away,1
2016-02-10,2015/16,Sharjah Cricket Stadium,Lahore Qalandars,Islamabad United,Islamabad United,field,Lahore Qalandars,Islamabad United,0.3333333333333333,0.3333333333333333,0.5,0.5,away,away,0
2016-02-11,2015/16,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Quetta Gladiators,0.5,0.75,0.0,1.0,away,away,0
