date,season,venue,team1,team2,toss_winner,toss_decision,bat_first_team,winner
2017-02-09,2016/17,Dubai International Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Islamabad United
2017-02-10,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Lahore Qalandars,field,Quetta Gladiators,Quetta Gladiators
2017-02-10,2016/17,Dubai International Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Peshawar Zalmi
2017-02-11,2016/17,Dubai International Cricket Stadium,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Islamabad United,Lahore Qalandars
2017-02-11,2016/17,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators
2017-02-12,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Lahore Qalandars,Peshawar Zalmi
2017-02-15,2016/17,Sharjah Cricket Stadium,Islamabad United,Quetta Gladiators,Islamabad United,field,Quetta Gladiators,Islamabad United
2017-02-16,2016/17,Sharjah Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Lahore Qalandars
2017-02-17,2016/17,Sharjah Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings
2017-02-18,2016/17,Sharjah Cricket Stadium,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,Quetta Gladiators
2017-02-18,2016/17,Sharjah Cricket Stadium,Islamabad United,Peshawar Zalmi,Islamabad United,field,Peshawar Zalmi,Islamabad United
2017-02-19,2016/17,Sharjah Cricket Stadium,Karachi Kings,Peshawar Zalmi,Peshawar Zalmi,field,Karachi Kings,Karachi Kings
2017-02-20,2016/17,Sharjah Cricket Stadium,Islamabad United,Lahore Qalandars,Lahore Qalandars,field,Islamabad United,Lahore Qalandars
2017-02-23,2016/17,Dubai International Cricket Stadium,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Karachi Kings,Quetta Gladiators
2017-02-24,2016/17,Dubai International Cricket Stadium,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,bat,Peshawar Zalmi,Peshawar Zalmi
2017-02-24,2016/17,Dubai International Cricket Stadium,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Islamabad United,Islamabad United
2017-02-25,2016/17,Dubai International Cricket Stadium,Karachi Kings,Lahore Qalandars,Karachi Kings,field,Lahore Qalandars,Karachi Kings
2017-02-25,2016/17,Dubai International Cricket Stadium,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,field,Quetta Gladiators,Peshawar Zalmi
2017-02-26,2016/17,Dubai International Cricket Stadium,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,Karachi Kings
2017-02-28,2016/17,Sharjah Cricket Stadium,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,field,Quetta Gladiators,Quetta Gladiators
2017-03-01,2016/17,Sharjah Cricket Stadium,Karachi Kings,Islamabad United,Islamabad United,field,Karachi Kings,Karachi Kings
2017-03-03,2016/17,Dubai International Cricket Stadium,Peshawar Zalmi,Karachi Kings,Karachi Kings,field,Peshawar Zalmi,Peshawar Zalmi
